ID_VENDA;ID_PRODUTO;QUANTIDADE;VALOR_UNITARIO_VENDA_PRODUTO;VALOR_VENDA_PRODUTO
81;18;1;98,00;98,00
81;2;2;116,40;232,80
81;2;3;118,80;356,40
82;5;3;291,00;873,00
83;20;1;24,00;24,00
84;1;1;49,00;49,00
84;20;2;25,00;50,00
85;24;1;57,60;57,60
85;7;2;350,00;700,00
85;24;1;55,80;55,80
86;1;1;48,50;48,50
87;24;1;60,00;60,00
88;30;2;88,20;176,40
89;13;1;135,80;135,80
90;29;1;500,00;500,00
90;24;1;58,20;58,20
90;13;1;137,20;137,20
90;22;2;29,40;58,80
90;1;1;48,50;48,50
91;15;1;87,30;87,30
92;23;2;250,00;500,00
93;19;3;155,20;465,60
94;24;2;58,20;116,40
95;2;1;120,00;120,00
96;28;2;116,40;232,80
96;24;2;58,80;117,60
97;16;2;274,40;548,80
97;7;1;346,50;346,50
97;1;1;50,00;50,00
98;5;1;291,00;291,00
98;2;1;116,40;116,40
99;22;1;28,50;28,50
99;20;2;25,00;50,00
99;7;2;350,00;700,00
100;2;1;116,40;116,40
100;21;1;107,80;107,80
100;2;1;116,40;116,40
101;20;1;25,00;25,00
102;5;3;279,00;837,00
103;6;1;145,50;145,50
104;20;2;24,00;48,00
105;19;1;160,00;160,00
105;18;5;99,00;495,00
105;28;2;111,60;223,20
106;20;3;24,25;72,75
106;21;1;110,00;110,00
106;24;1;60,00;60,00
107;1;2;47,00;94,00
107;19;1;155,20;155,20
108;9;1;400,00;400,00
108;1;2;46,50;93,00
108;2;2;120,00;240,00
109;7;1;339,50;339,50
109;29;1;490,00;490,00
110;19;1;155,20;155,20
110;1;1;50,00;50,00
111;13;1;140,00;140,00
111;15;1;87,30;87,30
112;15;1;90,00;90,00
112;18;2;100,00;200,00
113;3;2;245,00;490,00
113;25;2;176,40;352,80
114;4;1;180,00;180,00
114;13;1;135,80;135,80
115;21;2;106,70;213,40
115;5;1;294,00;294,00
116;10;1;79,20;79,20
117;1;1;48,50;48,50
117;2;2;120,00;240,00
118;24;1;60,00;60,00
118;20;4;25,00;100,00
118;13;2;137,20;274,40
118;5;1;300,00;300,00
119;7;2;346,50;693,00
119;7;1;343,00;343,00
120;1;1;48,50;48,50
121;19;2;155,20;310,40
122;17;2;126,10;252,20
123;23;1;232,50;232,50
123;2;3;120,00;360,00
123;24;2;60,00;120,00
123;15;1;88,20;88,20
124;9;1;388,00;388,00
124;5;1;291,00;291,00
124;20;2;24,75;49,50
125;20;1;24,50;24,50
125;16;1;266,00;266,00
125;11;3;418,50;1.255,50
125;15;1;90,00;90,00
125;1;1;48,50;48,50
126;7;1;339,50;339,50
127;20;1;24,50;24,50
127;1;1;47,00;47,00
128;7;1;339,50;339,50
129;11;1;450,00;450,00
129;7;2;350,00;700,00
129;12;1;200,00;200,00
129;23;3;232,50;697,50
130;16;2;280,00;560,00
130;11;1;427,50;427,50
131;21;2;106,70;213,40
132;19;3;160,00;480,00
133;1;2;48,50;97,00
134;19;1;148,80;148,80
134;15;1;83,70;83,70
134;13;1;140,00;140,00
134;19;1;160,00;160,00
134;20;1;24,25;24,25
135;29;1;485,00;485,00
135;2;2;111,60;223,20
135;20;1;24,00;24,00
135;1;3;49,00;147,00
136;24;3;58,80;176,40
137;13;1;135,80;135,80
137;8;1;220,00;220,00
138;14;1;184,30;184,30
138;21;1;102,30;102,30
138;15;2;88,20;176,40
138;13;2;135,80;271,60
139;20;2;24,25;48,50
139;1;2;48,50;97,00
140;1;1;48,50;48,50
140;8;3;213,40;640,20
140;2;1;116,40;116,40
141;21;1;110,00;110,00
142;1;2;50,00;100,00
143;24;1;58,20;58,20
144;22;1;29,10;29,10
144;24;1;60,00;60,00
145;4;2;176,40;352,80
145;20;1;24,25;24,25
146;1;2;47,00;94,00
147;1;1;50,00;50,00
147;20;1;25,00;25,00
148;13;1;140,00;140,00
148;20;2;25,00;50,00
148;12;1;188,00;188,00
149;1;1;49,00;49,00
149;1;2;50,00;100,00
149;2;4;111,60;446,40
150;5;3;291,00;873,00
151;15;1;87,30;87,30
152;24;2;60,00;120,00
153;2;2;118,80;237,60
154;14;2;184,30;368,60
154;15;3;90,00;270,00
154;1;2;48,50;97,00
155;13;1;137,20;137,20
155;19;2;155,20;310,40
156;11;4;436,50;1.746,00
157;3;1;242,50;242,50
158;24;1;58,20;58,20
159;30;1;87,30;87,30
160;18;1;100,00;100,00
160;1;1;48,50;48,50
160;11;1;436,50;436,50
161;24;2;60,00;120,00
162;1;2;49,00;98,00
162;1;2;48,50;97,00
163;20;2;24,25;48,50
163;11;3;436,50;1.309,50
164;19;1;155,20;155,20
165;20;1;25,00;25,00
166;28;1;112,80;112,80
166;3;1;247,50;247,50
166;16;2;280,00;560,00
167;1;2;50,00;100,00
168;12;1;200,00;200,00
169;10;1;78,40;78,40
170;16;2;271,60;543,20
170;5;1;291,00;291,00
170;13;1;135,80;135,80
170;2;1;120,00;120,00
171;1;1;48,50;48,50
171;2;2;112,80;225,60
172;23;1;250,00;250,00
172;4;2;167,40;334,80
172;14;1;186,20;186,20
173;25;3;178,20;534,60
174;16;1;271,60;271,60
174;9;2;388,00;776,00
174;14;2;184,30;368,60
175;7;2;339,50;679,00
175;10;1;80,00;80,00
175;10;2;80,00;160,00
175;20;1;23,25;23,25
176;2;2;112,80;225,60
177;7;1;339,50;339,50
177;1;4;48,50;194,00
178;15;1;90,00;90,00
178;28;2;118,80;237,60
178;24;3;58,20;174,60
178;2;1;120,00;120,00
178;21;2;110,00;220,00
179;11;1;436,50;436,50
180;19;1;155,20;155,20
180;18;2;93,00;186,00
181;20;2;25,00;50,00
182;22;1;28,50;28,50
182;25;1;174,60;174,60
182;24;1;58,20;58,20
183;11;2;436,50;873,00
183;1;2;50,00;100,00
183;20;2;25,00;50,00
183;8;2;204,60;409,20
184;5;2;300,00;600,00
185;1;1;48,50;48,50
185;5;1;300,00;300,00
186;15;1;89,10;89,10
186;18;2;100,00;200,00
187;25;1;174,60;174,60
187;29;1;490,00;490,00
187;1;1;48,50;48,50
187;22;4;29,10;116,40
188;14;2;184,30;368,60
188;2;2;111,60;223,20
188;24;2;58,20;116,40
188;14;2;184,30;368,60
189;13;2;135,80;271,60
190;22;1;29,10;29,10
190;9;1;400,00;400,00
190;23;2;245,00;490,00
191;14;3;180,50;541,50
192;15;1;90,00;90,00
193;20;3;25,00;75,00
194;21;3;107,80;323,40
194;5;2;300,00;600,00
194;4;1;180,00;180,00
195;1;2;47,00;94,00
196;19;2;160,00;320,00
196;18;2;98,00;196,00
196;18;2;97,00;194,00
197;16;2;271,60;543,20
198;24;2;58,20;116,40
199;1;2;48,50;97,00
199;2;1;117,60;117,60
200;24;3;55,80;167,40
201;30;2;90,00;180,00
202;20;2;24,25;48,50
203;29;1;490,00;490,00
203;1;2;48,50;97,00
204;23;1;242,50;242,50
205;24;1;55,80;55,80
205;23;1;242,50;242,50
206;1;2;50,00;100,00
206;5;2;279,00;558,00
206;24;1;60,00;60,00
206;24;2;58,80;117,60
207;24;1;55,80;55,80
208;20;4;24,25;97,00
209;1;2;46,50;93,00
209;1;2;50,00;100,00
209;2;1;116,40;116,40
209;19;2;155,20;310,40
210;19;1;155,20;155,20
211;20;2;25,00;50,00
211;24;1;60,00;60,00
211;22;1;27,90;27,90
212;2;2;120,00;240,00
213;22;3;30,00;90,00
214;13;1;135,80;135,80
215;1;3;50,00;150,00
216;20;1;25,00;25,00
217;28;1;111,60;111,60
217;15;1;90,00;90,00
217;13;1;135,80;135,80
218;20;1;25,00;25,00
219;20;3;24,25;72,75
219;15;1;87,30;87,30
219;5;1;291,00;291,00
220;1;1;50,00;50,00
221;24;3;58,20;174,60
221;1;1;47,00;47,00
221;7;1;343,00;343,00
221;1;1;49,00;49,00
222;1;2;49,00;98,00
222;14;1;186,20;186,20
222;23;2;250,00;500,00
223;1;1;48,50;48,50
224;9;2;372,00;744,00
224;21;1;110,00;110,00
225;18;1;100,00;100,00
226;14;2;176,70;353,40
227;6;1;139,50;139,50
227;1;1;48,50;48,50
227;7;2;339,50;679,00
228;24;1;58,80;58,80
229;2;2;116,40;232,80
229;17;1;130,00;130,00
229;24;2;58,20;116,40
229;22;1;29,10;29,10
230;24;2;58,20;116,40
230;24;1;58,20;58,20
230;1;1;49,50;49,50
230;1;2;48,50;97,00
231;3;3;250,00;750,00
232;2;1;116,40;116,40
233;2;1;120,00;120,00
234;16;3;274,40;823,20
235;2;1;117,60;117,60
236;3;2;250,00;500,00
236;24;1;60,00;60,00
236;7;2;339,50;679,00
237;20;2;24,75;49,50
238;1;1;48,50;48,50
239;9;2;400,00;800,00
239;1;1;50,00;50,00
240;24;3;58,80;176,40
240;20;1;25,00;25,00
241;19;1;155,20;155,20
241;18;1;98,00;98,00
241;1;1;47,00;47,00
242;23;1;245,00;245,00
243;13;1;140,00;140,00
243;5;1;291,00;291,00
244;15;1;85,50;85,50
244;30;1;87,30;87,30
244;22;1;29,10;29,10
244;2;1;117,60;117,60
244;24;2;58,20;116,40
245;1;2;48,00;96,00
246;20;2;24,25;48,50
246;2;2;120,00;240,00
247;30;2;90,00;180,00
248;1;3;50,00;150,00
248;15;2;87,30;174,60
249;24;1;58,20;58,20
250;24;2;60,00;120,00
250;4;1;174,60;174,60
250;22;2;28,50;57,00
250;7;2;350,00;700,00
250;7;2;332,50;665,00
251;1;1;46,50;46,50
251;4;1;176,40;176,40
251;15;2;87,30;174,60
251;1;2;49,00;98,00
252;15;1;87,30;87,30
252;15;2;88,20;176,40
253;20;1;24,25;24,25
253;20;1;25,00;25,00
254;10;1;80,00;80,00
255;1;1;49,00;49,00
255;24;1;59,40;59,40
256;20;1;24,25;24,25
256;20;3;24,50;73,50
256;13;1;140,00;140,00
256;7;1;339,50;339,50
257;22;1;30,00;30,00
257;19;2;156,80;313,60
257;7;2;339,50;679,00
258;11;1;450,00;450,00
259;2;1;111,60;111,60
260;10;1;77,60;77,60
260;7;2;350,00;700,00
260;9;2;372,00;744,00
260;5;1;300,00;300,00
261;25;2;174,60;349,20
262;10;2;79,20;158,40
262;29;2;485,00;970,00
263;1;1;48,50;48,50
263;19;1;160,00;160,00
264;24;2;58,20;116,40
265;6;2;145,50;291,00
266;7;4;325,50;1.302,00
266;16;5;271,60;1.358,00
266;24;1;60,00;60,00
267;15;1;90,00;90,00
268;15;4;87,30;349,20
268;1;1;48,50;48,50
269;19;2;155,20;310,40
269;7;1;350,00;350,00
270;29;1;485,00;485,00
270;1;1;50,00;50,00
270;25;1;169,20;169,20
271;15;1;87,30;87,30
271;7;2;339,50;679,00
272;22;1;29,10;29,10
273;18;1;97,00;97,00
274;24;1;58,20;58,20
275;12;2;196,00;392,00
276;1;1;47,50;47,50
277;2;1;111,60;111,60
277;2;5;116,40;582,00
277;22;1;29,10;29,10
278;5;1;300,00;300,00
278;5;2;300,00;600,00
279;15;4;87,30;349,20
279;20;1;24,50;24,50
280;13;1;140,00;140,00
281;26;3;65,10;195,30
281;25;2;176,40;352,80
281;19;2;158,40;316,80
281;7;4;332,50;1.330,00
282;24;1;58,80;58,80
282;20;1;25,00;25,00
282;2;1;115,20;115,20
282;2;1;116,40;116,40
283;15;3;87,30;261,90
284;23;3;242,50;727,50
285;15;2;87,30;174,60
286;1;1;48,50;48,50
286;14;1;184,30;184,30
286;14;1;184,30;184,30
286;7;2;350,00;700,00
287;28;2;120,00;240,00
288;17;4;126,10;504,40
289;20;2;24,25;48,50
289;14;1;186,20;186,20
289;15;1;90,00;90,00
290;24;1;58,20;58,20
291;1;1;48,50;48,50
292;24;3;58,80;176,40
293;1;1;48,50;48,50
294;7;1;350,00;350,00
295;19;3;156,80;470,40
295;4;2;176,40;352,80
295;11;3;436,50;1.309,50
296;24;2;60,00;120,00
297;15;1;87,30;87,30
297;1;1;50,00;50,00
298;2;3;111,60;334,80
299;7;1;339,50;339,50
299;14;1;176,70;176,70
300;7;1;339,50;339,50
301;24;2;58,20;116,40
302;19;1;160,00;160,00
302;7;2;346,50;693,00
303;1;2;47,50;95,00
303;2;1;120,00;120,00
303;12;2;194,00;388,00
304;24;2;60,00;120,00
304;16;1;260,40;260,40
304;20;4;24,25;97,00
305;1;2;48,50;97,00
305;16;1;274,40;274,40
305;22;2;30,00;60,00
306;20;3;24,25;72,75
307;7;1;339,50;339,50
307;19;2;155,20;310,40
308;9;1;392,00;392,00
308;3;1;242,50;242,50
309;8;1;220,00;220,00
310;24;1;60,00;60,00
311;13;2;135,80;271,60
311;15;1;88,20;88,20
311;18;1;95,00;95,00
312;24;4;57,60;230,40
313;24;1;60,00;60,00
314;18;3;97,00;291,00
314;2;3;116,40;349,20
315;11;1;450,00;450,00
315;22;2;29,10;58,20
316;5;1;291,00;291,00
317;30;1;90,00;90,00
318;24;3;58,20;174,60
318;7;2;350,00;700,00
319;1;1;46,50;46,50
320;28;1;117,60;117,60
321;24;2;58,20;116,40
321;28;1;120,00;120,00
322;4;1;174,60;174,60
323;13;2;135,80;271,60
323;9;2;400,00;800,00
324;20;1;25,00;25,00
324;2;1;116,40;116,40
324;18;1;97,00;97,00
325;20;2;25,00;50,00
326;1;1;49,50;49,50
326;20;2;25,00;50,00
327;18;3;95,00;285,00
328;24;1;58,20;58,20
329;1;1;50,00;50,00
330;2;2;111,60;223,20
330;9;1;388,00;388,00
331;1;3;48,50;145,50
332;2;1;120,00;120,00
333;13;2;135,80;271,60
334;1;2;47,00;94,00
335;29;2;485,00;970,00
336;21;4;107,80;431,20
337;15;4;87,30;349,20
338;9;2;400,00;800,00
338;5;1;291,00;291,00
339;13;1;137,20;137,20
339;14;2;184,30;368,60
339;15;1;86,40;86,40
339;5;2;291,00;582,00
340;19;2;148,80;297,60
340;2;1;116,40;116,40
341;1;2;50,00;100,00
341;20;2;24,25;48,50
342;4;2;174,60;349,20
343;12;1;194,00;194,00
344;20;1;25,00;25,00
344;13;2;140,00;280,00
345;15;1;87,30;87,30
345;13;2;135,80;271,60
345;24;1;57,00;57,00
346;20;2;25,00;50,00
347;7;2;343,00;686,00
348;17;1;127,40;127,40
349;2;2;120,00;240,00
349;1;1;48,50;48,50
350;14;1;184,30;184,30
351;24;1;57,60;57,60
351;23;2;250,00;500,00
352;14;1;182,40;182,40
353;23;1;242,50;242,50
353;19;2;156,80;313,60
354;1;2;50,00;100,00
354;1;1;50,00;50,00
355;25;1;180,00;180,00
355;20;1;24,25;24,25
356;1;1;50,00;50,00
356;2;1;114,00;114,00
356;5;3;291,00;873,00
357;24;1;57,00;57,00
358;9;2;400,00;800,00
358;24;1;58,20;58,20
359;30;2;88,20;176,40
360;1;1;49,50;49,50
360;1;2;50,00;100,00
361;20;2;25,00;50,00
362;18;1;93,00;93,00
363;6;2;145,50;291,00
364;12;1;194,00;194,00
364;23;1;240,00;240,00
364;19;2;155,20;310,40
364;3;3;237,50;712,50
365;20;1;25,00;25,00
366;14;1;186,20;186,20
366;9;2;388,00;776,00
366;21;2;106,70;213,40
367;6;1;145,50;145,50
367;2;1;120,00;120,00
368;20;1;24,50;24,50
369;13;1;137,20;137,20
369;19;2;155,20;310,40
369;9;1;400,00;400,00
369;1;1;50,00;50,00
370;24;2;60,00;120,00
371;7;5;350,00;1.750,00
371;1;1;50,00;50,00
372;14;2;190,00;380,00
373;17;1;126,10;126,10
374;1;3;50,00;150,00
375;29;2;500,00;1.000,00
376;16;1;280,00;280,00
376;14;1;184,30;184,30
376;1;3;49,00;147,00
376;20;1;25,00;25,00
377;20;2;25,00;50,00
378;29;1;500,00;500,00
378;18;2;100,00;200,00
378;1;2;49,00;98,00
379;24;3;58,20;174,60
379;19;2;155,20;310,40
379;2;2;114,00;228,00
379;5;1;291,00;291,00
380;20;1;24,50;24,50
381;6;1;145,50;145,50
382;8;1;213,40;213,40
383;19;1;155,20;155,20
384;7;1;350,00;350,00
384;24;2;58,20;116,40
385;7;2;350,00;700,00
386;15;1;87,30;87,30
386;16;2;280,00;560,00
387;5;1;297,00;297,00
388;15;1;87,30;87,30
388;24;1;58,80;58,80
388;1;2;48,50;97,00
389;13;2;135,80;271,60
390;24;4;60,00;240,00
390;10;3;77,60;232,80
391;15;2;90,00;180,00
391;20;1;23,75;23,75
391;9;2;388,00;776,00
391;9;2;392,00;784,00
392;25;1;171,00;171,00
392;17;2;130,00;260,00
393;20;2;23,25;46,50
393;2;2;120,00;240,00
393;5;1;300,00;300,00
394;2;2;120,00;240,00
394;25;2;171,00;342,00
395;8;1;215,60;215,60
395;10;1;77,60;77,60
395;9;2;400,00;800,00
396;20;2;25,00;50,00
397;1;1;48,50;48,50
398;29;1;485,00;485,00
398;5;2;300,00;600,00
399;1;2;48,50;97,00
399;2;1;120,00;120,00
400;24;1;60,00;60,00
401;5;2;291,00;582,00
401;1;1;47,50;47,50
401;7;4;329,00;1.316,00
401;11;1;436,50;436,50
402;16;1;271,60;271,60
403;19;2;155,20;310,40
404;5;2;300,00;600,00
404;20;1;24,25;24,25
404;2;2;116,40;232,80
405;25;2;180,00;360,00
406;25;1;174,60;174,60
407;2;2;117,60;235,20
407;10;4;78,40;313,60
407;18;1;98,00;98,00
407;1;2;48,50;97,00
408;19;2;156,80;313,60
408;18;3;100,00;300,00
409;17;1;126,10;126,10
410;1;1;50,00;50,00
411;6;2;145,50;291,00
412;24;1;58,20;58,20
412;24;1;58,20;58,20
412;20;2;25,00;50,00
413;13;1;131,60;131,60
414;16;1;280,00;280,00
414;14;1;190,00;190,00
415;4;2;169,20;338,40
416;1;2;48,50;97,00
417;1;1;48,50;48,50
418;29;1;490,00;490,00
418;19;1;152,00;152,00
419;20;1;24,25;24,25
420;25;2;180,00;360,00
421;1;1;48,50;48,50
421;2;1;111,60;111,60
421;2;2;116,40;232,80
421;1;1;49,00;49,00
422;4;2;180,00;360,00
422;18;2;100,00;200,00
422;25;2;176,40;352,80
422;15;1;87,30;87,30
423;19;2;155,20;310,40
424;25;2;174,60;349,20
425;20;1;24,25;24,25
425;20;2;24,25;48,50
426;5;1;291,00;291,00
426;1;1;50,00;50,00
427;16;1;280,00;280,00
427;10;1;77,60;77,60
427;24;1;58,20;58,20
428;12;2;194,00;388,00
428;7;1;339,50;339,50
429;15;2;87,30;174,60
429;1;3;49,00;147,00
429;16;1;280,00;280,00
430;22;5;30,00;150,00
430;28;1;117,60;117,60
431;23;2;245,00;490,00
431;1;2;48,50;97,00
431;25;1;167,40;167,40
432;1;1;49,00;49,00
433;25;1;180,00;180,00
434;18;2;100,00;200,00
435;28;1;112,80;112,80
436;19;2;156,80;313,60
437;15;1;88,20;88,20
437;13;1;130,20;130,20
438;20;1;25,00;25,00
439;13;1;137,20;137,20
440;14;1;190,00;190,00
441;18;1;100,00;100,00
441;18;1;97,00;97,00
441;24;1;60,00;60,00
442;16;1;271,60;271,60
442;24;2;55,80;111,60
443;15;1;87,30;87,30
444;16;1;271,60;271,60
444;24;1;58,20;58,20
444;24;1;55,80;55,80
444;25;1;174,60;174,60
445;1;2;48,50;97,00
445;20;3;24,25;72,75
445;15;2;90,00;180,00
446;24;2;58,20;116,40
447;20;1;23,25;23,25
448;5;1;300,00;300,00
449;20;1;24,25;24,25
449;15;1;83,70;83,70
450;19;1;160,00;160,00
450;15;1;90,00;90,00
450;18;2;97,00;194,00
450;6;1;147,00;147,00
450;24;1;60,00;60,00
451;14;1;190,00;190,00
452;22;3;29,10;87,30
452;24;1;58,20;58,20
452;15;3;90,00;270,00
452;25;1;167,40;167,40
453;14;2;190,00;380,00
453;18;2;100,00;200,00
453;20;1;24,25;24,25
453;25;1;180,00;180,00
454;18;1;97,00;97,00
455;9;2;372,00;744,00
455;13;1;131,60;131,60
455;1;1;48,50;48,50
456;18;1;100,00;100,00
456;7;1;343,00;343,00
456;20;1;24,25;24,25
456;9;2;388,00;776,00
457;1;2;48,50;97,00
458;2;1;120,00;120,00
459;13;1;135,80;135,80
459;9;2;388,00;776,00
459;24;2;58,20;116,40
459;19;1;148,80;148,80
460;24;1;60,00;60,00
461;15;1;87,30;87,30
461;20;1;24,25;24,25
461;20;1;23,75;23,75
461;2;1;120,00;120,00
462;5;1;300,00;300,00
462;25;1;174,60;174,60
462;2;2;114,00;228,00
462;14;1;184,30;184,30
463;7;2;339,50;679,00
463;14;2;190,00;380,00
464;13;1;135,80;135,80
465;18;1;93,00;93,00
466;11;1;441,00;441,00
467;22;1;29,10;29,10
467;4;1;176,40;176,40
467;13;2;135,80;271,60
467;18;1;95,00;95,00
468;26;1;66,50;66,50
468;17;2;130,00;260,00
468;25;1;174,60;174,60
469;20;1;23,25;23,25
470;1;1;47,50;47,50
471;23;2;245,00;490,00
471;18;1;97,00;97,00
471;15;2;87,30;174,60
472;13;5;135,80;679,00
472;24;2;58,80;117,60
472;15;1;90,00;90,00
472;23;2;242,50;485,00
473;13;1;137,20;137,20
474;9;1;400,00;400,00
474;16;1;271,60;271,60
475;20;1;25,00;25,00
475;21;1;110,00;110,00
476;20;2;24,50;49,00
477;18;2;97,00;194,00
477;1;1;48,50;48,50
478;1;4;50,00;200,00
479;15;2;88,20;176,40
480;13;1;140,00;140,00
480;22;3;29,10;87,30
480;7;1;339,50;339,50
481;15;1;87,30;87,30
482;1;1;48,50;48,50
483;5;2;294,00;588,00
483;18;1;97,00;97,00
483;20;1;23,25;23,25
484;24;2;58,20;116,40
484;22;2;29,10;58,20
484;16;2;280,00;560,00
484;4;1;180,00;180,00
485;14;2;190,00;380,00
486;14;2;184,30;368,60
487;14;2;190,00;380,00
488;7;5;350,00;1.750,00
488;2;1;116,40;116,40
488;4;4;174,60;698,40
489;1;1;50,00;50,00
489;4;1;176,40;176,40
489;19;4;155,20;620,80
489;2;2;116,40;232,80
490;2;1;116,40;116,40
491;24;4;58,20;232,80
491;7;2;332,50;665,00
491;24;2;58,20;116,40
492;20;1;24,25;24,25
493;1;1;48,50;48,50
494;5;2;279,00;558,00
494;19;1;155,20;155,20
494;19;1;160,00;160,00
494;20;1;24,50;24,50
495;14;1;184,30;184,30
496;29;3;500,00;1.500,00
496;9;2;400,00;800,00
497;23;3;242,50;727,50
497;7;1;350,00;350,00
497;29;1;500,00;500,00
498;24;1;60,00;60,00
499;19;2;153,60;307,20
499;20;3;24,25;72,75
500;15;1;90,00;90,00
500;1;1;49,00;49,00
500;2;1;116,40;116,40
501;14;2;184,30;368,60
502;15;2;83,70;167,40
503;20;1;25,00;25,00
503;13;1;140,00;140,00
504;30;2;83,70;167,40
505;7;1;339,50;339,50
505;20;1;24,50;24,50
505;13;3;135,80;407,40
505;19;2;155,20;310,40
506;23;1;235,00;235,00
506;15;2;90,00;180,00
506;18;2;100,00;200,00
506;15;3;90,00;270,00
507;7;2;339,50;679,00
507;24;1;58,20;58,20
507;15;2;83,70;167,40
507;21;2;106,70;213,40
508;11;2;427,50;855,00
509;5;1;279,00;279,00
509;9;1;380,00;380,00
510;10;2;80,00;160,00
511;20;1;24,00;24,00
512;29;1;485,00;485,00
512;15;1;90,00;90,00
513;1;2;48,50;97,00
513;20;1;23,75;23,75
513;8;1;204,60;204,60
514;24;1;58,20;58,20
515;19;3;160,00;480,00
516;15;1;87,30;87,30
517;19;3;156,80;470,40
517;22;3;29,10;87,30
517;19;3;155,20;465,60
517;15;1;90,00;90,00
518;20;2;24,25;48,50
