ID_VENDA;DATA_VENDA;ID_FILIAL;ID_CLIENTE;VALOR_VENDA
245;05/10/2023;2;192;96,00
246;05/10/2023;2;348;288,50
247;05/10/2023;2;146;180,00
248;05/10/2023;2;38;324,60
249;05/10/2023;3;1498;58,20
250;05/10/2023;3;908;1.716,60
251;05/10/2023;3;2190;495,50
252;05/10/2023;3;2179;263,70
253;05/10/2023;3;666;49,25
254;05/10/2023;3;2431;80,00
255;05/10/2023;3;1064;108,40
256;05/10/2023;3;824;577,25
257;05/10/2023;4;2456;1.022,60
258;05/10/2023;4;2384;450,00
259;05/10/2023;4;305;111,60
260;05/10/2023;4;414;1.821,60
261;05/10/2023;4;168;349,20
262;05/10/2023;4;2599;1.128,40
263;05/10/2023;4;294;208,50
264;05/10/2023;4;333;116,40
265;05/10/2023;4;115;291,00
266;05/10/2023;4;205;2.720,00
267;05/10/2023;4;12;90,00
268;05/10/2023;4;485;397,70
269;05/10/2023;4;259;660,40
270;05/10/2023;4;216;704,20
271;05/10/2023;4;443;766,30
272;05/10/2023;4;298;29,10
273;05/10/2023;4;2894;97,00
274;05/10/2023;4;2526;58,20
275;05/10/2023;4;200;392,00
276;05/10/2023;4;2453;47,50
277;05/10/2023;4;126;722,70
278;05/10/2023;4;2921;900,00
279;05/10/2023;5;957;373,70
280;05/10/2023;5;1214;140,00
281;05/10/2023;5;2038;2.194,90
282;05/10/2023;5;1674;315,40
283;05/10/2023;5;75;261,90
284;05/10/2023;5;1745;727,50
285;05/10/2023;5;2935;174,60
286;05/10/2023;5;807;1.117,10
287;05/10/2023;5;138;240,00
288;05/10/2023;5;1357;504,40
289;05/10/2023;5;2636;324,70
290;05/10/2023;5;366;58,20
291;05/10/2023;5;2743;48,50
292;06/10/2023;1;1551;176,40
293;06/10/2023;1;122;48,50
294;06/10/2023;1;811;350,00
295;06/10/2023;1;1147;2.132,70
296;06/10/2023;1;1258;120,00
297;06/10/2023;1;1038;137,30
298;06/10/2023;1;11;334,80
299;06/10/2023;1;5;516,20
300;06/10/2023;1;993;339,50
301;06/10/2023;1;4;116,40
302;06/10/2023;1;1682;853,00
303;06/10/2023;1;1771;603,00
304;06/10/2023;1;16;477,40
305;06/10/2023;1;420;431,40
306;06/10/2023;1;397;72,75
307;06/10/2023;1;1542;649,90
308;06/10/2023;1;1446;634,50
309;06/10/2023;1;850;220,00
310;06/10/2023;1;1259;60,00
311;06/10/2023;1;449;454,80
312;06/10/2023;1;1673;230,40
313;06/10/2023;1;1361;60,00
314;06/10/2023;1;188;640,20
315;06/10/2023;1;665;508,20
316;06/10/2023;1;521;291,00
317;06/10/2023;1;1011;90,00
318;06/10/2023;1;8;874,60
319;06/10/2023;1;458;46,50
320;06/10/2023;1;381;117,60
321;06/10/2023;1;1589;236,40
322;06/10/2023;1;1;174,60
323;06/10/2023;1;912;1.071,60
324;06/10/2023;1;164;238,40
325;06/10/2023;1;127;50,00
326;06/10/2023;1;1274;99,50
327;06/10/2023;1;133;285,00
328;06/10/2023;1;1785;58,20
329;06/10/2023;1;7;50,00
330;06/10/2023;1;649;611,20
331;06/10/2023;1;1464;145,50
332;06/10/2023;1;1829;120,00
333;06/10/2023;1;963;271,60
334;06/10/2023;2;44;94,00
335;06/10/2023;2;104;970,00
336;06/10/2023;2;139;431,20
337;06/10/2023;2;1898;349,20
338;06/10/2023;2;89;1.091,00
339;06/10/2023;2;1497;1.174,20
340;06/10/2023;2;62;414,00
341;06/10/2023;2;71;148,50
342;06/10/2023;2;776;349,20
343;06/10/2023;2;56;194,00
344;06/10/2023;2;152;305,00
345;06/10/2023;2;38;415,90
346;06/10/2023;2;91;50,00
347;06/10/2023;2;37;686,00
348;06/10/2023;2;140;127,40
349;06/10/2023;2;135;288,50
350;06/10/2023;2;111;184,30
351;06/10/2023;2;18;557,60
352;06/10/2023;2;871;182,40
353;06/10/2023;2;737;556,10
354;06/10/2023;2;138;150,00
355;06/10/2023;2;16;204,25
356;06/10/2023;2;1230;1.037,00
357;06/10/2023;2;14;57,00
358;06/10/2023;2;21;858,20
359;06/10/2023;2;517;176,40
360;06/10/2023;2;136;149,50
361;06/10/2023;2;162;50,00
362;06/10/2023;2;1255;93,00
363;06/10/2023;2;119;291,00
364;06/10/2023;2;157;1.456,90
365;06/10/2023;2;11;25,00
366;06/10/2023;2;1918;1.175,60
367;06/10/2023;2;187;265,50
368;06/10/2023;2;82;24,50
369;06/10/2023;2;88;897,60
370;06/10/2023;2;60;120,00
371;06/10/2023;2;75;1.800,00
372;06/10/2023;2;120;380,00
373;06/10/2023;2;900;126,10
374;06/10/2023;2;64;150,00
375;06/10/2023;2;1102;1.000,00
376;06/10/2023;2;1243;636,30
377;06/10/2023;2;151;50,00
378;06/10/2023;2;84;798,00
379;06/10/2023;2;166;1.004,00
380;06/10/2023;2;179;24,50
381;06/10/2023;2;14;145,50
382;06/10/2023;2;91;213,40
383;06/10/2023;2;89;155,20
384;06/10/2023;3;2265;466,40
385;06/10/2023;3;1014;700,00
386;06/10/2023;3;1386;647,30
387;06/10/2023;3;1038;297,00
388;06/10/2023;3;2452;243,10
389;06/10/2023;3;1276;271,60
390;06/10/2023;3;925;472,80
391;06/10/2023;3;833;1.763,75
392;06/10/2023;3;954;431,00
393;06/10/2023;3;2250;586,50
394;06/10/2023;3;1246;582,00
395;06/10/2023;3;796;1.093,20
396;06/10/2023;3;2090;50,00
397;06/10/2023;3;832;48,50
398;06/10/2023;4;121;1.085,00
399;06/10/2023;4;440;217,00
400;06/10/2023;4;2601;60,00
401;06/10/2023;4;309;2.382,00
402;06/10/2023;4;2881;271,60
403;06/10/2023;4;416;310,40
404;06/10/2023;4;178;857,05
405;06/10/2023;4;248;360,00
406;06/10/2023;4;422;174,60
407;06/10/2023;4;333;743,80
408;06/10/2023;4;262;613,60
409;06/10/2023;4;273;126,10
410;06/10/2023;4;475;50,00
411;06/10/2023;4;478;291,00
412;06/10/2023;4;215;166,40
413;06/10/2023;5;1271;131,60
414;06/10/2023;5;2454;470,00
415;06/10/2023;5;2592;338,40
416;06/10/2023;5;534;97,00
417;06/10/2023;5;925;48,50
418;06/10/2023;5;210;642,00
419;06/10/2023;5;544;24,25
420;06/10/2023;5;1681;360,00
421;06/10/2023;5;1928;441,90
422;06/10/2023;5;336;1.000,10
423;06/10/2023;5;2397;310,40
424;06/10/2023;5;501;349,20
425;06/10/2023;5;2660;72,75
426;06/10/2023;5;2575;341,00
427;06/10/2023;5;639;415,80
428;06/10/2023;5;60;727,50
429;06/10/2023;5;1366;601,60
430;06/10/2023;5;2003;267,60
431;06/10/2023;5;2546;754,40
432;06/10/2023;5;1586;49,00
433;06/10/2023;5;266;180,00
434;06/10/2023;5;347;200,00
435;06/10/2023;5;56;112,80
436;06/10/2023;5;130;313,60
437;07/10/2023;1;102;218,40
438;07/10/2023;1;1105;25,00
439;07/10/2023;1;1130;137,20
440;07/10/2023;1;47;190,00
441;07/10/2023;1;553;257,00
442;07/10/2023;1;604;383,20
443;07/10/2023;1;1483;87,30
444;07/10/2023;1;78;560,20
445;07/10/2023;1;746;349,75
446;07/10/2023;1;389;116,40
447;07/10/2023;1;1277;23,25
448;07/10/2023;1;1109;300,00
449;07/10/2023;1;686;107,95
450;07/10/2023;1;1239;651,00
451;07/10/2023;1;702;190,00
452;07/10/2023;1;1758;582,90
453;07/10/2023;1;1350;784,25
454;07/10/2023;1;1536;97,00
455;07/10/2023;1;1091;924,10
456;07/10/2023;1;1082;1.243,25
457;07/10/2023;1;1891;97,00
458;07/10/2023;1;1923;120,00
459;07/10/2023;1;1384;1.177,00
460;07/10/2023;1;314;60,00
461;07/10/2023;1;1875;255,30
462;07/10/2023;1;289;886,90
463;07/10/2023;1;1337;1.059,00
464;07/10/2023;1;42;135,80
465;07/10/2023;1;116;93,00
466;07/10/2023;1;154;441,00
467;07/10/2023;1;1609;572,10
468;07/10/2023;1;140;501,10
469;07/10/2023;1;508;23,25
470;07/10/2023;1;773;47,50
471;07/10/2023;1;350;761,60
472;07/10/2023;1;695;1.371,60
473;07/10/2023;1;908;137,20
474;07/10/2023;1;675;671,60
475;07/10/2023;1;241;135,00
476;07/10/2023;1;601;49,00
477;07/10/2023;1;367;242,50
478;07/10/2023;1;1296;200,00
479;07/10/2023;1;4;176,40
480;07/10/2023;1;1649;566,80
481;07/10/2023;1;413;87,30
482;07/10/2023;1;146;48,50
483;07/10/2023;1;1144;708,25
484;07/10/2023;1;141;914,60
485;07/10/2023;1;10;380,00
486;07/10/2023;1;189;368,60
487;07/10/2023;1;1139;380,00
488;07/10/2023;1;1606;2.564,80
489;07/10/2023;1;1745;1.080,00
490;07/10/2023;1;1946;116,40
491;07/10/2023;1;1178;1.014,20
492;07/10/2023;1;1659;24,25
493;07/10/2023;1;8;48,50
494;07/10/2023;1;693;897,70
495;07/10/2023;1;1122;184,30
496;07/10/2023;1;1341;2.300,00
497;07/10/2023;1;813;1.577,50
498;07/10/2023;1;12;60,00
499;07/10/2023;1;1331;379,95
500;07/10/2023;1;1222;255,40
501;07/10/2023;1;1887;368,60
502;07/10/2023;1;762;167,40
503;07/10/2023;1;1425;165,00
504;07/10/2023;1;330;167,40
505;07/10/2023;1;1371;1.081,80
506;07/10/2023;1;969;885,00
507;07/10/2023;1;1;1.118,00
508;07/10/2023;1;1671;855,00
509;07/10/2023;1;5;659,00
510;07/10/2023;1;297;160,00
511;07/10/2023;1;1308;24,00
512;07/10/2023;1;210;575,00
513;07/10/2023;1;49;325,35
514;07/10/2023;1;1765;58,20
515;07/10/2023;1;2;480,00
516;07/10/2023;1;1167;87,30
517;07/10/2023;1;6;1.113,30
518;07/10/2023;1;446;748,50
519;07/10/2023;1;529;305,20
520;07/10/2023;1;880;261,90
521;07/10/2023;1;239;1.612,90
522;07/10/2023;1;1555;107,80
523;07/10/2023;1;89;232,80
524;07/10/2023;1;3;50,00
525;07/10/2023;1;580;640,20
526;07/10/2023;1;1138;250,00
527;07/10/2023;1;1273;232,80
528;07/10/2023;1;313;116,40
529;07/10/2023;1;1819;150,00
530;07/10/2023;1;461;623,20
531;07/10/2023;1;1015;582,00
532;07/10/2023;1;11;232,80
533;07/10/2023;1;334;100,00
534;07/10/2023;2;1555;679,00
535;07/10/2023;2;33;159,30
536;07/10/2023;2;1370;530,90
537;07/10/2023;2;65;25,00
538;07/10/2023;2;17;148,80
539;07/10/2023;2;171;90,00
540;07/10/2023;2;152;763,70
541;07/10/2023;2;12;98,00
542;07/10/2023;2;1266;234,20
543;07/10/2023;2;1831;184,30
544;07/10/2023;2;79;23,75
545;07/10/2023;2;84;88,20
546;07/10/2023;2;91;50,00
547;07/10/2023;2;71;116,40
548;07/10/2023;2;130;735,00
549;07/10/2023;2;13;1.406,00
550;07/10/2023;2;1706;140,00
551;07/10/2023;2;33;679,00
552;07/10/2023;2;98;98,00
553;07/10/2023;2;694;465,00
554;07/10/2023;2;251;470,00
555;07/10/2023;2;29;893,20
556;07/10/2023;2;1009;564,40
557;07/10/2023;2;636;1.375,00
558;07/10/2023;2;784;46,50
559;07/10/2023;2;1083;402,50
560;07/10/2023;2;1128;271,60
561;07/10/2023;2;1863;75,00
562;07/10/2023;2;17;329,00
563;07/10/2023;2;37;418,50
564;07/10/2023;2;38;57,00
565;07/10/2023;2;99;713,00
566;07/10/2023;2;120;117,60
567;07/10/2023;2;31;970,20
568;07/10/2023;2;185;220,00
569;07/10/2023;2;34;100,00
570;07/10/2023;2;188;462,55
571;07/10/2023;2;326;320,00
572;07/10/2023;2;79;837,00
573;07/10/2023;2;127;225,20
574;07/10/2023;2;1064;1.390,60
575;07/10/2023;2;128;665,00
576;07/10/2023;2;62;497,00
577;07/10/2023;2;124;436,50
578;07/10/2023;2;12;47,50
579;07/10/2023;2;16;776,00
580;07/10/2023;2;920;512,30
581;07/10/2023;2;22;280,00
582;07/10/2023;2;112;1.116,00
583;07/10/2023;2;336;341,00
584;07/10/2023;2;71;1.104,40
585;07/10/2023;2;99;87,30
586;07/10/2023;2;11;23,25
587;07/10/2023;2;13;97,00
588;07/10/2023;2;61;380,00
589;07/10/2023;2;118;437,70
590;07/10/2023;2;800;1.200,00
591;07/10/2023;2;150;349,20
592;07/10/2023;2;497;1.061,30
593;07/10/2023;2;36;156,70
594;07/10/2023;2;176;815,90
595;07/10/2023;2;86;24,25
596;07/10/2023;3;2219;737,20
597;07/10/2023;3;1071;215,60
598;07/10/2023;3;1389;235,00
599;07/10/2023;3;1043;490,60
600;07/10/2023;3;949;58,20
601;07/10/2023;3;1147;117,60
602;07/10/2023;3;763;354,80
603;07/10/2023;3;1172;180,00
604;07/10/2023;3;1319;97,00
605;07/10/2023;3;508;1.247,70
606;07/10/2023;3;813;260,40
607;07/10/2023;3;2267;1.140,00
608;07/10/2023;3;1306;256,40
609;07/10/2023;3;1117;24,25
610;07/10/2023;3;1362;24,25
611;07/10/2023;3;1058;184,30
612;07/10/2023;3;523;88,20
613;07/10/2023;3;505;674,70
614;07/10/2023;3;2275;1.200,70
615;07/10/2023;3;2439;116,40
616;07/10/2023;3;1299;213,40
617;07/10/2023;3;559;988,20
618;07/10/2023;3;533;120,00
619;07/10/2023;3;2308;525,20
620;07/10/2023;3;1379;721,40
621;07/10/2023;3;509;881,00
622;07/10/2023;4;181;768,70
623;07/10/2023;4;151;480,00
624;07/10/2023;4;400;120,00
625;07/10/2023;4;453;97,00
626;07/10/2023;4;363;88,20
627;07/10/2023;4;150;178,60
628;07/10/2023;4;121;74,40
629;07/10/2023;4;407;1.997,00
630;07/10/2023;4;220;446,80
631;07/10/2023;4;2754;48,50
632;07/10/2023;4;187;1.539,00
633;07/10/2023;4;492;3.111,30
634;07/10/2023;4;193;388,00
635;07/10/2023;4;2987;360,00
636;07/10/2023;4;2648;240,00
637;07/10/2023;4;22;48,50
638;07/10/2023;4;425;897,00
639;07/10/2023;4;464;560,00
640;07/10/2023;4;176;339,50
641;07/10/2023;4;340;155,20
642;07/10/2023;4;2909;420,00
643;07/10/2023;4;122;489,30
644;07/10/2023;4;238;97,00
645;07/10/2023;4;456;625,00
646;07/10/2023;4;494;1.765,20
647;07/10/2023;4;179;661,80
648;07/10/2023;5;250;640,05
649;07/10/2023;5;1974;185,80
650;07/10/2023;5;1542;450,00
651;07/10/2023;5;1498;246,00
652;07/10/2023;5;1904;48,50
653;07/10/2023;5;2950;686,70
654;07/10/2023;5;160;1.433,40
655;07/10/2023;5;751;1.348,60
656;07/10/2023;5;2104;100,00
657;07/10/2023;5;1624;46,50
658;07/10/2023;5;2644;296,00
659;07/10/2023;5;1754;291,00
660;07/10/2023;5;1321;100,00
661;07/10/2023;5;275;24,25
662;07/10/2023;5;1103;1.663,90
663;07/10/2023;5;2870;872,00
664;07/10/2023;5;2226;1.271,60
665;07/10/2023;5;2194;50,00
666;07/10/2023;5;335;349,20
667;07/10/2023;5;2328;89,10
668;07/10/2023;5;2576;116,40
669;07/10/2023;5;1663;116,40
670;07/10/2023;5;1491;116,40
671;07/10/2023;5;1905;98,00
672;07/10/2023;5;851;1.531,00
673;07/10/2023;5;2426;29,10
674;07/10/2023;5;1740;117,60
675;07/10/2023;5;1321;691,00
676;07/10/2023;5;344;194,00
677;07/10/2023;5;2181;70,00
678;07/10/2023;5;1777;200,00
679;07/10/2023;5;38;242,50
680;07/10/2023;5;1306;174,60
681;07/10/2023;5;2176;878,20
682;07/10/2023;5;2543;280,00
683;07/10/2023;5;921;97,00
684;07/10/2023;5;1154;970,00
685;07/10/2023;5;2783;116,40
686;07/10/2023;5;698;205,80
687;07/10/2023;5;1447;440,00
688;07/10/2023;5;1277;1.333,00
689;07/10/2023;5;2759;437,30
690;07/10/2023;5;440;848,60
691;07/10/2023;5;2365;350,00
692;07/10/2023;5;1690;130,20
693;07/10/2023;5;2031;186,20
694;07/10/2023;5;901;200,00
695;07/10/2023;5;1933;679,00
696;07/10/2023;5;2030;1.050,00
697;07/10/2023;5;392;89,10
698;07/10/2023;5;1668;99,00
699;07/10/2023;5;976;159,05
700;07/10/2023;5;1687;686,00
701;07/10/2023;5;706;155,20
702;07/10/2023;5;2827;214,40
703;07/10/2023;5;2005;331,80
704;07/10/2023;5;1415;314,00
705;07/10/2023;5;1319;500,00
706;07/10/2023;5;1846;232,50
707;07/10/2023;5;1605;116,40
708;07/10/2023;5;1530;1.044,70
709;07/10/2023;5;1399;530,40
710;07/10/2023;5;1945;83,20
711;07/10/2023;5;2069;260,40
712;07/10/2023;5;78;58,20
713;07/10/2023;5;1116;474,60
714;07/10/2023;5;1174;119,00
715;07/10/2023;5;1654;116,40
716;07/10/2023;5;1634;807,75
717;07/10/2023;5;384;245,20
718;07/10/2023;5;1683;213,40
719;07/10/2023;5;1628;266,00
720;07/10/2023;5;1337;87,30
721;07/10/2023;5;1304;485,00
722;07/10/2023;5;2521;543,20
723;07/10/2023;5;1652;396,40
724;07/10/2023;5;563;1.741,50
725;07/10/2023;5;762;339,50
726;08/10/2023;1;1587;215,20
727;08/10/2023;1;1340;339,50
728;08/10/2023;1;924;1.503,25
729;08/10/2023;1;691;585,50
730;08/10/2023;1;1229;688,00
731;08/10/2023;1;1984;1.344,00
732;08/10/2023;1;137;882,00
733;08/10/2023;1;1965;532,00
734;08/10/2023;1;1687;116,40
735;08/10/2023;1;302;228,00
736;08/10/2023;1;1763;24,25
737;08/10/2023;1;1561;395,30
738;08/10/2023;1;1;226,10
739;08/10/2023;1;1528;153,60
740;08/10/2023;1;1883;420,00
741;08/10/2023;1;682;1.028,20
742;08/10/2023;1;491;430,80
743;08/10/2023;1;1394;140,00
744;08/10/2023;1;1249;116,40
745;08/10/2023;1;848;240,00
746;08/10/2023;2;191;937,40
747;08/10/2023;2;154;60,00
748;08/10/2023;2;1744;1.148,20
749;08/10/2023;2;366;30,00
750;08/10/2023;2;81;1.686,90
751;08/10/2023;2;80;1.917,50
752;08/10/2023;2;169;105,30
753;08/10/2023;2;144;888,40
754;08/10/2023;2;187;1.529,60
755;08/10/2023;2;70;130,20
756;08/10/2023;2;84;48,50
757;08/10/2023;2;181;140,00
758;08/10/2023;2;185;566,40
759;08/10/2023;3;2002;24,50
760;08/10/2023;3;2152;545,00
761;08/10/2023;3;2179;223,20
762;08/10/2023;3;1464;210,00
763;08/10/2023;3;2053;1.101,40
764;08/10/2023;3;2048;117,60
765;08/10/2023;3;1275;25,00
766;08/10/2023;4;126;529,75
767;08/10/2023;4;348;118,80
768;08/10/2023;4;2461;180,00
769;08/10/2023;4;2426;161,45
770;08/10/2023;4;333;176,70
771;08/10/2023;4;362;402,80
772;08/10/2023;4;348;24,25
773;08/10/2023;4;2849;950,80
774;08/10/2023;4;2745;420,00
775;08/10/2023;5;1364;776,00
776;08/10/2023;5;2226;76,00
777;08/10/2023;5;1303;415,30
778;08/10/2023;5;196;674,90
779;08/10/2023;5;1140;115,20
780;08/10/2023;5;269;226,70
781;08/10/2023;5;1376;291,00
782;08/10/2023;5;1262;153,75
783;08/10/2023;5;460;171,00
784;08/10/2023;5;34;24,25
785;08/10/2023;5;1981;725,40
786;08/10/2023;5;1724;58,20
787;08/10/2023;5;2200;270,00
788;08/10/2023;5;1569;270,00
789;08/10/2023;5;1562;429,30
